log_id;device_id;activity_date;application_name;screen_time_minutes;battery_usage_percent;activity_category
1;D001;17/12/2024;Instagram;91;15,6;Social Media
2;D001;17/12/2024;TikTok;59;12,9;Social Media
3;D001;17/12/2024;WhatsApp;20;3;Messaging
4;D001;17/12/2024;YouTube Music;26;2,6;Music
5;D001;17/12/2024;Layanan Google Play;0;2,4;System
6;D001;17/12/2024;UI sistem;0;1,7;System
7;D001;17/12/2024;Galaxy Store;0;1;System
8;D001;17/12/2024;Google Play Store;0;1;System
9;D001;17/12/2024;Shopee;3;0,9;E‑Commerce
10;D001;17/12/2024;KCMTix;11;0,7;Entertainment
11;D001;17/12/2024;Maps;3;0,7;Navigation
12;D001;17/12/2024;Grab;1;0,7;Transportation
13;D001;17/12/2024;Chrome;2;0,3;Browser
14;D001;17/12/2024;GoPay;2;0,3;Finance
15;D001;17/12/2024;Livin’ by Mandiri;2;0,3;Finance
16;D003;17/12/2024;TikTok;229;51;Social Media
17;D003;17/12/2024;Safari;47;14;Browser
18;D003;17/12/2024;WhatsApp;38;9;Messaging
19;D003;17/12/2024;Preview;10;3;Tools
20;D003;17/12/2024;Shopee;2;1;E-Commerce
21;D003;17/12/2024;YouTube;2;1;Entertainment
22;D001;16/12/2024; TikTok;138;24,4; Social Media
23;D001;16/12/2024; Instagram;137;19,2; Social Media
24;D001;16/12/2024; Shopee;19;6,5; E-Commerce
25;D001;16/12/2024; WhatsApp;19;5,7; Messaging
26;D001;16/12/2024; Layanan Google Play;0;2,1; System
27;D001;16/12/2024; Traveloka;17;2; Travel
28;D001;16/12/2024; Chrome;8;1,6; Browser
29;D001;16/12/2024; UI sistem;0;1,5; System
30;D001;16/12/2024; Beranda One UI;13;1,3; System
31;D001;16/12/2024; Google;3;0,6; Utility
32;D001;16/12/2024; Flightradar24;2;0,6; Utility
33;D001;16/12/2024; YouTube;1;0,5; Streaming
34;D001;16/12/2024; Google Play Store;0;0,3; System
35;D001;16/12/2024; Keyboard Samsung;0;0,3; System
36;D001;16/12/2024; Kalkulator;4;0,2; Utility
37;D001;16/12/2024; KCMTix;3;0,2; Entertainment
38;D001;16/12/2024; Kamera;1;0,2; Camera
39;D001;16/12/2024; Livin’ by Mandiri;1;0,2; Finance
40;D001;16/12/2024; Maps;1;0,2; Navigation
41;D001;16/12/2024; Telegram;1;0,2; Messaging
42;D001;16/12/2024; Galeri;1;0,1; Utility
43;D001;16/12/2024; Facebook;0;0,1; Social Media
44;D001;16/12/2024; Gmail;0;0,1; Email
45;D001;16/12/2024; Gojek;0;0,1; Transportation
